CODE,CODE_MNEMONIC,DESCRIPTION,FREQUENCY,MULTIPLIER,AGGREGATION_TYPE,UNIT_TYPE,DATA_TYPE,DATA_UNIT,SEASONALLY_ADJUSTED,ANNUALIZED,PROVIDER_MEASURE_URL,PROVIDER,SOURCE,SOURCE_DESCRIPTION,COUNTRY,DATASET
SSGADD.SPDRBBGBARCLAYSHIGHYIELDBONDETF.OPTADJDURATION.B,SSGADD.SPDRBBGBARCLAYSHIGHYIELDBONDETF.OPTADJDURATION,"SPDR BBG Barclays High Yield Bond ETF, Fund Characteristics, Option Adjusted Duration",B,0,END_OF_PERIOD,LEVEL,UNITS,years,NSA,FALSE,https://us.spdrs.com/en/etf/spdr-bloomberg-barclays-high-yield-bond-etf-JNK?fundSeoName=spdr-bloomberg-barclays-high-yield-bond-etf-JNK,AfricaAI,SSGA,State street global advisors,USA,SSGADD
SSGADD.SPDRPORTFOLIOINTERMEDIATETERMCORPORATEBONDETF.OPTADJDURATION.B,SSGADD.SPDRPORTFOLIOINTERMEDIATETERMCORPORATEBONDETF.OPTADJDURATION,"SPDR Portfolio Intermediate Term Corporate Bond ETF, Fund Characteristics, Option Adjusted Duration",B,0,END_OF_PERIOD,LEVEL,UNITS,years,NSA,FALSE,https://us.spdrs.com/en/etf/spdr-portfolio-intermediate-term-corporate-bond-etf-SPIB,AfricaAI,SSGA,State street global advisors,USA,SSGADD
